Sample;X(ms) [15.02.2026 04:44:56 688 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
6528;1771131099728,925596;1,00120496749878;0,977089881896973;10
6529;1771131099791,528496;1,00131380558014;0,977836966514587;10
6530;1771131099858,158696;1,00147438049316;0,979293167591095;10
6531;1771131099918,995596;1,00163590908051;0,982980012893677;10
6532;1771131099979,446796;1,00171029567719;0,984192311763763;10
6533;1771131100042,282896;1,00183796882629;0,988270938396454;10
6534;1771131100104,927496;1,00190198421478;0,992778599262238;10
6535;1771131100167,927796;1,00196576118469;0,993583381175995;10
6536;1771131100230,090796;1,00211763381958;0,994624197483063;10
6537;1771131100292,331896;1,00235736370087;0,996715903282166;10
6538;1771131100354,068296;1,00259304046631;1,00120711326599;10
6539;1771131100417,320496;1,00272822380066;1,00600481033325;10
6540;1771131100478,788696;1,0027242898941;1,00751209259033;10
6541;1771131100543,334896;1,00263655185699;1,00982093811035;10
6542;1771131100606,081596;1,00272154808044;1,01257491111755;10
6543;1771131100669,037196;1,00298154354095;1,01537096500397;10
6544;1771131100731,227296;1,00321626663208;1,01916575431824;10
6545;1771131100792,661596;1,00340139865875;1,02250361442566;10
6546;1771131100855,957196;1,00349283218384;1,02503395080566;10
6547;1771131100918,992396;1,00351452827454;1,02788579463959;10
6548;1771131100980,423196;1,00367403030396;1,03025984764099;10
6549;1771131101042,739596;1,00382649898529;1,03179967403412;10
6550;1771131101106,742796;1,00408482551575;1,03493463993073;10
6551;1771131101169,488896;1,00421190261841;1,03714120388031;10
6552;1771131101237,817796;1,00438785552979;1,03989279270172;10
6553;1771131101310,379396;1,00458955764771;1,04229974746704;10
6554;1771131101365,907896;1,00477659702301;1,04501020908356;10
6555;1771131101420,521496;1,00487089157104;1,0467723608017;10
6556;1771131101481,609596;1,00515294075012;1,05160129070282;10
6557;1771131101544,108796;1,00522947311401;1,05302846431732;10
6558;1771131101607,383896;1,00535798072815;1,05572211742401;10
6559;1771131101671,442896;1,005535364151;1,05816614627838;10
6560;1771131101732,039196;1,00577831268311;1,06094527244568;10
6561;1771131101795,233796;1,00602328777313;1,06382191181183;10
6562;1771131101858,310096;1,00620031356812;1,06734144687653;10
6563;1771131101921,475696;1,00632548332214;1,07098340988159;10
6564;1771131101984,614696;1,00644052028656;1,07351088523865;10
6565;1771131102043,993896;1,00651323795319;1,0746603012085;10
6566;1771131102108,205696;1,00667881965637;1,07660412788391;10
6567;1771131102171,283296;1,00698673725128;1,07937633991241;10
6568;1771131102234,603996;1,00727713108063;1,08230268955231;10
6569;1771131102295,404496;1,00748038291931;1,08549690246582;10
6570;1771131102361,706496;1,00760531425476;1,08803808689117;10
6571;1771131102421,941896;1,00777530670166;1,09050452709198;10
6572;1771131102483,756496;1,00812602043152;1,09396505355835;10
6573;1771131102545,891396;1,00819981098175;1,09460985660553;10
6574;1771131102609,889496;1,00847470760345;1,0974133014679;10
6575;1771131102672,331796;1,0087103843689;1,10036408901215;10
6576;1771131102735,604296;1,00889563560486;1,1029144525528;10
6577;1771131102796,582696;1,00909769535065;1,10573899745941;10
6578;1771131102860,423096;1,00936567783356;1,10891902446747;10
6579;1771131102922,967096;1,00961458683014;1,11184895038605;10
6580;1771131102984,828096;1,00983095169067;1,11439383029938;10
6581;1771131103046,624096;1,01004862785339;1,11726951599121;10
6582;1771131103108,985796;1,0101637840271;1,11874854564667;10
6583;1771131103171,526896;1,01042056083679;1,12144505977631;10
6584;1771131103235,542296;1,01068425178528;1,12418758869171;10
6585;1771131103300,135396;1,0109384059906;1,12719976902008;10
6586;1771131103360,102596;1,01118850708008;1,13021910190582;10
6587;1771131103422,513596;1,01140677928925;1,13298070430756;10
6588;1771131103485,945796;1,01151716709137;1,13428235054016;10
6589;1771131103547,228796;1,01193153858185;1,13819420337677;10
6590;1771131103609,523896;1,01208698749542;1,13950181007385;10
6591;1771131103672,120696;1,0123952627182;1,14224982261658;10
6592;1771131103735,273696;1,01267826557159;1,14511978626251;10
6593;1771131103797,320196;1,01292526721954;1,14794397354126;10
6594;1771131103861,018696;1,01315248012543;1,1506439447403;10
6595;1771131103923,320596;1,01341795921326;1,15322184562683;10
6596;1771131103985,093596;1,01374590396881;1,1559921503067;10
6597;1771131104048,499996;1,01405596733093;1,15885412693024;10
6598;1771131104109,882796;1,0141943693161;1,16027104854584;10
6599;1771131104173,081296;1,01445758342743;1,16304063796997;10
6600;1771131104234,791696;1,01471078395844;1,16581118106842;10
6601;1771131104298,231796;1,01499128341675;1,16863214969635;10
6602;1771131104361,460196;1,01529848575592;1,17136216163635;10
6603;1771131104424,680196;1,01559519767761;1,17416071891785;10
6604;1771131104486,771196;1,01588702201843;1,17688238620758;10
6605;1771131104553,224196;1,01624190807343;1,18022191524506;10
6606;1771131104613,011596;1,01631474494934;1,1808979511261;10
6607;1771131104673,834496;1,01663053035736;1,18366420269012;10
6608;1771131104737,379596;1,01695394515991;1,18650591373444;10
6609;1771131104799,916896;1,0172461271286;1,18920421600342;10
6610;1771131104862,938296;1,01754868030548;1,19189715385437;10
6611;1771131104925,536396;1,01785862445831;1,19460904598236;10
6612;1771131104988,324296;1,01817739009857;1,19724953174591;10
6613;1771131105050,753596;1,01851284503937;1,19988322257996;10
6614;1771131105112,359696;1,01884353160858;1,20261788368225;10
6615;1771131105175,657596;1,01900696754456;1,20403265953064;10
6616;1771131105237,828196;1,0193156003952;1,20681929588318;10
6617;1771131105300,112896;1,01961421966553;1,20948624610901;10
6618;1771131105362,871996;1,01994037628174;1,21218240261078;10
6619;1771131105426,136796;1,02027654647827;1,21486783027649;10
6620;1771131105489,751296;1,02062094211578;1,21759104728699;10
6621;1771131105551,149196;1,0207941532135;1,21899366378784;10
6622;1771131105615,342496;1,02128291130066;1,22307479381561;10
6623;1771131105676,293296;1,02159607410431;1,22576260566711;10
6624;1771131105739,932396;1,02176105976105;1,22710156440735;10
6625;1771131105801,882596;1,0221152305603;1,22979819774628;10
6626;1771131105863,680896;1,02247285842896;1,2325074672699;10
6627;1771131105927,037896;1,02281749248505;1,23514819145203;10
6628;1771131105990,209496;1,02315843105316;1,2378523349762;10
6629;1771131106053,048396;1,02350533008575;1,24049472808838;10
6630;1771131106114,471296;1,02386391162872;1,24319159984589;10
6631;1771131106177,384096;1,02421760559082;1,24590039253235;10
6632;1771131106240,279196;1,02457785606384;1,24854922294617;10
6633;1771131106305,420896;1,02493989467621;1,25123476982117;10
6634;1771131106365,208496;1,02511703968048;1,25255131721497;10
6635;1771131106426,941696;1,025475025177;1,25516104698181;10
6636;1771131106491,700896;1,02584362030029;1,2578364610672;10
6637;1771131106552,526196;1,02621698379517;1,26053869724274;10
6638;1771131106615,932696;1,02658021450043;1,26322078704834;10
6639;1771131106678,812496;1,0269421339035;1,26588380336761;10
6640;1771131106741,674896;1,02731490135193;1,26854968070984;10
6641;1771131106803,252996;1,0275000333786;1,26988422870636;10
6642;1771131106865,571996;1,02787327766418;1,27252471446991;10
6643;1771131106929,060096;1,02825915813446;1,2751624584198;10
6644;1771131106991,270296;1,02864384651184;1,27784836292267;10
6645;1771131107053,122996;1,02902007102966;1,28050434589386;10
6646;1771131107116,011596;1,02939510345459;1,2831392288208;10
6647;1771131107179,092896;1,02978074550629;1,28576231002808;10
6648;1771131107241,812396;1,03017282485962;1,28838765621185;10
6649;1771131107303,976296;1,03056633472443;1,29102861881256;10
6650;1771131107367,586996;1,03096318244934;1,29367864131927;10
6651;1771131107428,791096;1,03106272220612;1,29433846473694;10
6652;1771131107492,065696;1,03145921230316;1,29695153236389;10
6653;1771131107553,997296;1,03194856643677;1,30023217201233;10
6654;1771131107616,127996;1,03234970569611;1,30287265777588;10
6655;1771131107680,593496;1,03265404701233;1,30484461784363;10
6656;1771131107742,337796;1,03305518627167;1,30746209621429;10
6657;1771131107815,597796;1,03345990180969;1,31007373332977;10
6658;1771131107867,614996;1,0338716506958;1,31268703937531;10
6659;1771131107930,875196;1,03428053855896;1,31530582904816;10
6660;1771131107994,207196;1,03448438644409;1,31662249565125;10
6661;1771131108056,692196;1,03489363193512;1,31925046443939;10
6662;1771131108117,489096;1,03530919551849;1,32186698913574;10
6663;1771131108180,171696;1,03572595119476;1,32447671890259;10
6664;1771131108242,882996;1,03613698482513;1,32707381248474;10
6665;1771131108305,755496;1,03655970096588;1,32967102527618;10
6666;1771131108367,805996;1,0369884967804;1,33227133750916;10
6667;1771131108430,409596;1,03720045089722;1,33357489109039;10
6668;1771131108493,766196;1,03762459754944;1,33617842197418;10
6669;1771131108556,272496;1,03805065155029;1,33877265453339;10
6670;1771131108619,827196;1,03847706317902;1,34136056900024;10
6671;1771131108683,212396;1,03901338577271;1,34458589553833;10
6672;1771131108744,192496;1,03934216499329;1,34652781486511;10
6673;1771131108808,959496;1,03978323936462;1,34911894798279;10
6674;1771131108872,776896;1,04021787643433;1,35170888900757;10
6675;1771131108931,880596;1,04065644741058;1,35429084300995;10
6676;1771131108995,069696;1,04087662696838;1,35557878017426;10
6677;1771131109057,712496;1,0413144826889;1,3581554889679;10
6678;1771131109118,262896;1,04175782203674;1,36073291301727;10
6679;1771131109181,345796;1,04220414161682;1,36330950260162;10
6680;1771131109244,407296;1,04264879226685;1,36588597297668;10
6681;1771131109307,478696;1,04310166835785;1,36845135688782;10
6682;1771131109372,405496;1,04355764389038;1,3710161447525;10
6683;1771131109431,636396;1,04400908946991;1,37359142303467;10
6684;1771131109494,063396;1,04423356056213;1,37487637996674;10
6685;1771131109557,225896;1,04468417167664;1,37743806838989;10
6686;1771131109619,120596;1,04514276981354;1,37999725341797;10
6687;1771131109681,586796;1,04560434818268;1,38255131244659;10
6688;1771131109745,571596;1,04606902599335;1,38510227203369;10
6689;1771131109810,552796;1,04653644561768;1,38765358924866;10
6690;1771131109869,234996;1,04699575901031;1,39020776748657;10
6691;1771131109933,371196;1,04746043682098;1,39275813102722;10
6692;1771131109997,157896;1,04793262481689;1,39530348777771;10
6693;1771131110059,265196;1,04816794395447;1,39657592773438;10
6694;1771131110120,384396;1,04863846302032;1,39911818504333;10
6695;1771131110182,773596;1,04911255836487;1,40165615081787;10
6696;1771131110247,833496;1,04958736896515;1,40419638156891;10
6697;1771131110308,992196;1,05006170272827;1,40673840045929;10
6698;1771131110370,337696;1,05054199695587;1,40927541255951;10
6699;1771131110433,203496;1,05102503299713;1,41180801391602;10
6700;1771131110495,515996;1,05126535892487;1,41307187080383;10
6701;1771131110559,259496;1,05174767971039;1,41559863090515;10
6702;1771131110620,468996;1,05223166942596;1,41812944412231;10
6703;1771131110683,411696;1,05271697044373;1,42065525054932;10
6704;1771131110747,017096;1,05332982540131;1,42380905151367;10
6705;1771131110810,737296;1,05369865894318;1,42569983005524;10
6706;1771131110874,163796;1,0541924238205;1,42821872234344;10
6707;1771131110933,962096;1,05468451976776;1,43073499202728;10
6708;1771131110996,765496;1,05493009090424;1,43199276924133;10
6709;1771131111060,880996;1,05542433261871;1,43450808525085;10
6710;1771131111121,541296;1,05592525005341;1,43701660633087;10
6711;1771131111185,955396;1,05642938613892;1,43952250480652;10
6712;1771131111246,582696;1,05693125724792;1,44203066825867;10
6713;1771131111310,221696;1,05742990970612;1,44453728199005;10
6714;1771131111373,196796;1,05793368816376;1,44704055786133;10
6715;1771131111435,769796;1,05844306945801;1,44954216480255;10
6716;1771131111498,071496;1,05895006656647;1,45204162597656;10
6717;1771131111560,147496;1,0592052936554;1,453289270401;10
6718;1771131111623,192796;1,05971896648407;1,45578396320343;10
6719;1771131111685,445196;1,06023180484772;1,45827877521515;10
6720;1771131111749,547596;1,06074357032776;1,46077108383179;10
6721;1771131111813,802196;1,06125926971436;1,46326196193695;10
6722;1771131111874,167496;1,06177961826324;1,46574902534485;10
6723;1771131111941,848996;1,06229770183563;1,46823358535767;10
6724;1771131111999,681096;1,06281924247742;1,47071671485901;10
6725;1771131112064,541996;1,06334006786346;1,47319710254669;10
6726;1771131112125,774196;1,06360256671906;1,4744371175766;10
6727;1771131112187,649096;1,06413161754608;1,47691702842712;10
6728;1771131112249,597796;1,06465744972229;1,47939300537109;10
6729;1771131112312,897496;1,06518602371216;1,48186576366425;10
