Sample;X(ms) [15.02.2026 04:18:44 862 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
183;1771129130992,416526;0,0217164382338524;0,14305754005909;3,73390340805054
184;1771129131055,349526;0,022101953625679;0,143502831459045;3,69954061508179
185;1771129131117,359826;0,0224835723638535;0,145368844270706;3,70657634735107
186;1771129131181,867026;0,0228511728346348;0,147235751152039;3,73039698600769
187;1771129131242,118526;0,0232227630913258;0,148816287517548;3,72455859184265
188;1771129131306,033826;0,0235948674380779;0,148803770542145;3,72439098358154
189;1771129131367,258526;0,0239776074886322;0,149391576647758;3,7075469493866
190;1771129131429,530226;0,0243649631738663;0,151062592864037;3,70076036453247
191;1771129131492,786426;0,0247346498072147;0,152055084705353;3,73033976554871
192;1771129131555,707226;0,0250959284603596;0,153642073273659;3,74498605728149
193;1771129131618,285326;0,025448389351368;0,154006659984589;3,76025485992432
194;1771129131679,083226;0,025819456204772;0,153924614191055;3,73034620285034
195;1771129131742,086426;0,0262195896357298;0,155026972293854;3,68329358100891
196;1771129131805,420526;0,0266388207674026;0,157427564263344;3,65249919891357
197;1771129131867,684926;0,0270503889769316;0,159626737236977;3,66556358337402
198;1771129131929,814626;0,0274345614016056;0,160754576325417;3,71112132072449
199;1771129131992,255226;0,0277906283736229;0,160770252346992;3,75816464424133
200;1771129132055,680926;0,0281501896679401;0,159773379564285;3,75304865837097
201;1771129132117,806426;0,0285430494695902;0,159596666693687;3,69907522201538
202;1771129132184,922826;0,0289689768105745;0,161817103624344;3,64525771141052
203;1771129132243,041226;0,0293875355273485;0,164830848574638;3,65789604187012
204;1771129132305,205526;0,0297825466841459;0,166658312082291;3,69714307785034
205;1771129132367,448326;0,0301546473056078;0,166430562734604;3,73540735244751
206;1771129132429,792226;0,0305331759154797;0,165461152791977;3,72551155090332
207;1771129132492,037526;0,030909214168787;0,165334433317184;3,73030042648315
208;1771129132559,562226;0,0313399843871593;0,16802516579628;3,64094495773315
209;1771129132617,336226;0,0317483991384506;0,169485777616501;3,67817544937134
