Sample;X(ms) [24.02.2026 18:59:44 014 UTC];"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
235;1771959594155,206743;5;0,0595773458480835;0,27499920129776
236;1771959594217,032843;5;0,0601476728916168;0,276413381099701
237;1771959594279,521643;5;0,060708574950695;0,277841538190842
238;1771959594341,585443;5;0,061381109058857;0,279583722352982
239;1771959594404,032243;5;0,0617833845317364;0,280624777078629
240;1771959594467,425243;5;0,0623398423194885;0,282002061605453
241;1771959594530,213043;5;0,0629139393568039;0,283389180898666
242;1771959594592,141043;5;0,063499815762043;0,284785449504852
243;1771959594654,516243;5;0,0637865513563156;0,285485208034515
244;1771959594717,395043;5;0,0643390864133835;0,286864280700684
245;1771959594780,000943;5;0,0648835971951485;0,288230568170547
246;1771959594845,287843;5;0,0654392838478088;0,28962054848671
247;1771959594906,255443;5;0,0660146921873093;0,291004031896591
248;1771959594969,810443;5;0,0665903463959694;0,29237774014473
249;1771959595032,525443;5;0,0671450346708298;0,293742120265961
250;1771959595094,743843;5;0,0677008926868439;0,295108109712601
251;1771959595156,610043;5;0,0679874271154404;0,295789837837219
252;1771959595220,183743;5;0,0685623958706856;0,297160178422928
253;1771959595282,552843;5;0,0692723616957664;0,298880606889725
254;1771959595344,908343;5;0,0696978941559792;0,299903839826584
255;1771959595407,219643;5;0,0702520981431007;0,301266312599182
256;1771959595516,257543;5;0,0710978433489799;0,303289979696274
257;1771959595533,842043;5;0,0713898465037346;0,303964257240295
258;1771959595595,377043;5;0,0719825774431229;0,305312007665634
259;1771959595657,561843;5;0,0722748935222626;0,305987924337387
260;1771959595720,810743;5;0,0728368014097214;0,307341247797012
261;1771959595782,685343;5;0,0734008550643921;0,308685511350632
262;1771959595844,895143;5;0,0739803537726402;0,310025870800018
263;1771959595907,928543;5;0,0745500922203064;0,311356723308563
264;1771959595970,674943;5;0,0751255378127098;0,312690287828445
265;1771959596032,943743;5;0,0757100805640221;0,314028531312943
266;1771959596095,352443;5;0,0762947425246239;0,315365165472031
267;1771959596157,731543;5;0,0765833109617233;0,316032499074936
268;1771959596221,019443;5;0,0771513432264328;0,31736034154892
269;1771959596283,340943;5;0,0778696835041046;0,319015651941299
270;1771959596345,566243;5;0,078447237610817;0,320340067148209
271;1771959596408,726643;5;0,0790311917662621;0,321662783622742
272;1771959596471,268643;5;0,0796158611774445;0,322985589504242
273;1771959596533,767943;5;0,0801943987607956;0,324299216270447
274;1771959596595,675943;5;0,0804838165640831;0,324953734874725
275;1771959596658,187543;5;0,0810597240924835;0,326269954442978
276;1771959596721,969643;5;0,0816441774368286;0,327587962150574
277;1771959596783,795543;5;0,0822358801960945;0,32889598608017
278;1771959596845,978743;5;0,0828115865588188;0,330201983451843
279;1771959596909,484743;5;0,0833868086338043;0,331503212451935
280;1771959596972,552043;5;0,0839804485440254;0,332801163196564
281;1771959597035,323943;5;0,0845812112092972;0,334098875522614
282;1771959597098,724243;5;0,0848758518695831;0,334748327732086
283;1771959597162,804443;5;0,0854544192552567;0,336047142744064
284;1771959597223,164543;5;0,0860313773155212;0,337340444326401
285;1771959597285,126243;5;0,0866188257932663;0,338631331920624
286;1771959597347,708243;5;0,0872175693511963;0,339919894933701
287;1771959597409,382743;5;0,0878099352121353;0,341204106807709
288;1771959597472,441743;5;0,0883995741605759;0,342489570379257
289;1771959597534,610343;5;0,0889836102724075;0,343776106834412
290;1771959597597,198143;5;0,0895716920495033;0,345058083534241
291;1771959597659,562743;5;0,089869424700737;0,34569776058197
292;1771959597722,827543;5;0,090462401509285;0,346973657608032
293;1771959597785,296343;5;0,0909064710140228;0,347927629947662
294;1771959597847,685043;5;0,0916453525424004;0,349521458148956
295;1771959597909,778643;5;0,0922378078103065;0,350792646408081
296;1771959597972,800943;5;0,0928314551711082;0,352060735225677
297;1771959598035,552643;5;0,0932740569114685;0,353011339902878
